section_name,zone,price,listingId,ticketClass,img
212,200 Level,"INR6,715",7997679189,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
208,200 Level,"INR6,743",8664327809,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73909.jpg?im=Resize=(500,271)"
224,200 Level,"INR6,787",8659451917,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73924.jpg?im=Resize=(500,271)"
212,200 Level,"INR6,860",8664271301,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
225,200 Level,"INR6,933",8663373114,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73843.jpg?im=Resize=(500,271)"
223,200 Level,"INR6,933",8659407422,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73928.jpg?im=Resize=(500,271)"
,100 Level,"INR11,980",-8663687108,3788,"https://img.vggcdn.net/img/vfsnew/2d/3708/73824.jpg?im=Resize=(500,271)"
221,200 Level,"INR6,933",8520959824,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73987.jpg?im=Resize=(500,271)"
224,200 Level,"INR7,006",8657458824,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73924.jpg?im=Resize=(500,271)"
224,200 Level,"INR7,006",8657465788,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73924.jpg?im=Resize=(500,271)"
224,200 Level,"INR7,006",8660859545,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73924.jpg?im=Resize=(500,271)"
211,200 Level,"INR7,006",8661104988,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
227,200 Level,"INR7,111",8434629590,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73835.jpg?im=Resize=(500,271)"
318,West Balcony,"INR7,113",8664183889,8157,"https://img.vggcdn.net/img/vfsnew/2d/3708/73903.jpg?im=Resize=(500,271)"
420,400 Level,"INR7,135",8444582823,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73970.jpg?im=Resize=(500,271)"
222,200 Level,"INR7,211",8642077588,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73880.jpg?im=Resize=(500,271)"
110,100 Level,"INR7,224",8664321840,3788,"https://img.vggcdn.net/img/vfsnew/2d/3708/73828.jpg?im=Resize=(500,271)"
,Chase Bridges,"INR12,065",-8636116623,8153,"https://img.vggcdn.net/img/vfsnew/2d/3708/73945.jpg?im=Resize=(500,271)"
224,200 Level,"INR7,269",7629515265,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73924.jpg?im=Resize=(500,271)"
414,400 Level,"INR7,292",8621908160,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
224,200 Level,"INR7,297",8271773164,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73924.jpg?im=Resize=(500,271)"
211,200 Level,"INR7,297",8642269442,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
414,400 Level,"INR7,327",8660959964,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
414,400 Level,"INR7,327",8660959948,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
221,200 Level,"INR7,339",8663280982,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73987.jpg?im=Resize=(500,271)"
222,200 Level,"INR7,370",8489849415,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73880.jpg?im=Resize=(500,271)"
318,West Balcony,"INR7,371",8663484812,8157,"https://img.vggcdn.net/img/vfsnew/2d/3708/73903.jpg?im=Resize=(500,271)"
208,200 Level,"INR7,378",8477368919,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73909.jpg?im=Resize=(500,271)"
,Chase Bridges,"INR12,065",-8636116623,8153,"https://img.vggcdn.net/img/vfsnew/2d/3708/73945.jpg?im=Resize=(500,271)"
223,200 Level,"INR7,386",8663132873,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73928.jpg?im=Resize=(500,271)"
209,200 Level,"INR7,449",8621908169,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73953.jpg?im=Resize=(500,271)"
220,200 Level,"INR7,525",8214655987,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73790.jpg?im=Resize=(500,271)"
414,400 Level,"INR7,567",8512324840,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
212,200 Level,"INR7,622",8252079645,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
222,200 Level,"INR7,661",8543849754,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73880.jpg?im=Resize=(500,271)"
212,200 Level,"INR7,661",8660185154,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
421WC,400 Level,"INR7,711",8664219123,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73803.jpg?im=Resize=(500,271)"
226,200 Level,"INR7,728",8663800595,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
213,200 Level,"INR7,778",8477374899,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73777.jpg?im=Resize=(500,271)"
,100 Level,"INR13,835",-8650431810,3788,"https://img.vggcdn.net/img/vfsnew/2d/3708/73868.jpg?im=Resize=(500,271)"
418,400 Level,"INR7,808",8663779423,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73810.jpg?im=Resize=(500,271)"
,West Balcony,"INR4,763",-8658718302,8157,"https://img.vggcdn.net/img/vfsnew/2d/3708/73903.jpg?im=Resize=(500,271)"
213,200 Level,"INR7,808",8662822262,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73777.jpg?im=Resize=(500,271)"
210,200 Level,"INR7,881",8660294603,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73820.jpg?im=Resize=(500,271)"
221,200 Level,"INR7,881",8529125067,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73987.jpg?im=Resize=(500,271)"
226,200 Level,"INR7,889",8660433432,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
223,200 Level,"INR7,927",8584893237,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73928.jpg?im=Resize=(500,271)"
416,400 Level,"INR7,937",8663197054,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73894.jpg?im=Resize=(500,271)"
227,200 Level,"INR8,026",8664018716,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73835.jpg?im=Resize=(500,271)"
211,200 Level,"INR8,026",8529086258,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
414,400 Level,"INR8,033",8660631109,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
322,West Balcony,"INR8,050",8663859922,8157,"https://img.vggcdn.net/img/vfsnew/2d/3708/73971.jpg?im=Resize=(500,271)"
,200 Level,"INR6,595",-8664040787,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73835.jpg?im=Resize=(500,271)"
311,Chase Bridges,"INR8,052",7926836818,8153,"https://img.vggcdn.net/img/vfsnew/2d/3708/73840.jpg?im=Resize=(500,271)"
211,200 Level,"INR8,078",8664347960,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
210,200 Level,"INR8,090",8660433024,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73820.jpg?im=Resize=(500,271)"
212,200 Level,"INR8,118",8663182107,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73882.jpg?im=Resize=(500,271)"
223,200 Level,"INR8,130",8663361713,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73928.jpg?im=Resize=(500,271)"
